COD	ÁREA
A01	ADMINISTRACION I/ADMINISTRACION 
A02	ADMINISTRACION II/COMPORTAMIENTO ORGANIZACIONAL
A03	COMERCIALIZACION I
A04	FINANZAS DE EMPRESAS I
A05	ADMINISTRACION DE LA PRODUCCION I/ADMINISTRACION DE LAS OPERACIONES I
A06	ADMINISTRACION DE PERSONAL/ADMINISTRACION DE RECURSOS HUMANOS
A07	CONTABILIDAD GERENCIAL
A08	COMPUTACION I
A09	COMPUTACION II/ANALISIS Y DISEÑO
A10	TEORIA DE LA ORGANIZACIÓN/DIRECCION ESTRATEGICA I
A11	SOCIOLOGIA
A12	FINANZAS DE EMPRESAS II
A13	ADMINISTRACION DE LA PRODUCCION II/ADMINISTRACION DE LAS OPERACIONES II
A14	COMERCIALIZACION II
A15	FORMULACION Y EVALUACION DE PROYECTOS
A16	INVESTIGACION OPERATIVA/ANALISIS CUANTITATIVO DE NEGOCIOS
C01	CONTABILIDAD I/INT AL SIST DE INFM. CONTABLE
C02	CONTABILIDAD II
C03	ESTADOS CONTABLES Y SUS ANALISIS/CONTABILIDAD IV
C04	COSTOS I
C05	COSTOS II
C06	ADMINISTRACION Y CONTABILIDAD PUBLICA/ADMINISTRACION Y CONTABILIDAD PUBLICA I
C08	CONCURSOS Y PRACTICA JUDICIAL/CONCURSOS Y PRACTICA JUDICIAL I
C09	ORGANIZACION CONTABLE DE EMPRESAS/ORGANIZACIÓN CONTABLE I
C10	TEORIA Y TECNICA IMPOSITIVA I/IMPUESTOS DIRECTOS
C11	AUDITORIA I
C12	AUDITORIA II
C14	TEORIA Y TECNICA IMPOSITIVA II/IMPUESTO AL CONSUMO
C15	CONTABILIDAD III
D01	DERECHO CIVIL/DERECHO EMPRESARIO I
D02	DERECHO COMERCIAL I/DERECHO EMPRESARIO II
D03	DERECHO COMERCIAL II/DERECHO SOCIETARIO
D04	DERECHO FISCAL Y ADMINISTRATIVO/DERECHO CONSTITUCIONAL Y TRIBUTARIO
D05	DERECHO DEL TRABAJO Y LA SEGURIDAD SOCIAL/DERECHO DEL TRABAJO Y LA SEGURIDAD SOCIAL I
E01	INTRODUCCION A LA ECONOMIA/PRINCIPIOS DE ECONOMIA I
E02	ECONOMIA I/PRINCIPIOS DE ECONOMIA II
E03	TEORIA DE LOS PRECIOS I/MICROECONOMIA I
E04	TEORIA DE LOS PRECIOS II/MICROECONOMIA II
E05	TEORIA DEL INGRESO Y SUS FLUCTUACIONES/MACROECONOMIA I
E06	FINANZAS PUBLICAS I/FINANZAS PUBLICAS
E07	COMERCIO INTERNACIONAL I/COMERCIO INTERNACIONAL
E08	TEORIA MONETARIA IMACROECONOMIA II
E09	TEORIA MONETARIA II/MACROECONOMIA III
E10	DESARROLLO ECONOMICO I/CRECIMIENTO Y DESARROLLO ECONOMICO
E11	EVALUACION SOCIAL DE PROYECTOS/EVALUACION ECONOMICA Y FINANCIERA DE PROYECTOS
E12	HISTORIA DEL PENSAMIENTO ECONOMICO
E13	DESARROLLO ECONOMICO II
E14	PLANIFICACION ECONOMICA/ OTRO CODIGO E37 MICROECONOMIA III
E15	PROBLEMAS ECONOMICOS DE AMERICA LATINA
E16	FINANZAS PUBLICAS II
E17	ECONOMIA AGRICOLA I/ECONOMIA AGRICOLA
E18	ECONOMIA AGRICOLA II
E19	POLITICA MONETARIA Y FISCAL/ECONOMIA POLITICA
E20	COMERCIO INTERNACIONAL II
E21	ECONOMIA MATEMATICA
E22	ALGEBRA LINEAL
E23	ECONOMIA DEL BIENESTAR/TEORIA DEL EQUILIBRIO GENERAL
E24	HISTORIA ECONOMICA ARGENTINA/ECONOMIA INSTITUCIONAL
E25	ECONOMIA LABORAL I/ECONOMIA LABORAL
E26	INTRODUCCION A LA DEMOGRAFIA
E27	ECONOMIA INDUSTRIAL I/ECONOMIA INDUSTRIAL
E28	SEMINARIO DE INVESTIGACION
E29	ECONOMIA II/TEORIA ECONOMICA APLICADA
H01	LOGICA Y METODOLOGIA DE LA CIENCIA/LOGICA Y METODOLOGIA DE LA INVESTIGACION
H02	HISTORIA ECONOMICA
L03	PRESEMINARIO CPN-1983-LEE 1983-LAE 1983
L04	SEMINARIO
M01	ALGEBRA/MATEMATICA I
M02	INTRODUCCION AL ANALISIS MATEMATICO/MATEMATICA II
M03	ANALISIS MATEMATICO/MATEMATICA III
M04	ESTADISTICA
M05	MATEMATICA FINANCIERA/MATEMATICA FINANCIERA I
M06	CALCULO SUPERIOR
M07	ESTADISTICA I/ESTADISTICA INFERENCIAL
M08	ESTADISTICA II
M09	ECONOMETRIA I
