codigo,barcode,producto,stock,precio
A01,7798006055058,ABROCHADORA 10/50 PINZA,4,16241.98
A02,77960870,ADHESIVO VOLIGOMAS 50 ml,-4,
A03,77960863,ADHESIVO VOLIGOMAS 30 ml,2,931.26
A04,7798156770405,ALFILERES CAJA 28 MM 50 GRS,0,67.11
A05,7798132384503,ALMOHADILLA PARA SELLOS PAGADA,0,239
A06,7798112830235,ALMOHADILLA PARA SELLOS STA,1,
A07,,APRIETA PAPELES Nº2,5,
A07,,APRIETA PAPELES Nº3,,,
A08,,APRIETA PAPELES Nº4,11,
A09,,ARANDELAS CARTON CAJA 500 UNID.,2469.80,6.05
A10,,BANDAS ELASTICAS 500 GRS SUPERBANDS 40 DIAM CAJA. CHICAS,0.81,9804
A11,,BANDAS ELASTICAS 500 GRS SUPERBANDS 80 DIAM CAJA. GRANDES Y GRUESAS 150 UNIDADES,0,456
A12,,BANDAS ELASTICAS 500 GRS SUPERBANDS 80 DIAM CAJA. LARGAS FINAS,0,
A14,,BIBLIORATO A4 REFORZADO,0,662.11
A15,,BIBLIORATO TAMAÑO A4,22,2516.03
A16,,BIBLIORATO TAMAÑO LEGAL,25,2516.03
A17,,BIBLIORATO TAMAÑO OFICIO REFORZADO,1,662.11
A19,,BORRADOR,23,84.7
A20,7798006050084,BROCHES ABROCHADORA 10/50,66,799.56
A21,,BROCHES ABROCHADORA 21/6,8,35.19
A22,,BROCHES ABROCHADORA 23/10,2,64.9
A23,,BROCHES ABROCHADORA 24/6,3,44.7
A24,,BROCHES DORADOS Nº 10 POR CAJA 100 UNID,9,99.23
A25,,BROCHES DORADOS Nº 3 POR CAJA 100 UNID,23,236.19
A26,,BROCHES DORADOS Nº 5 POR CAJA 100 UNID,39,60.2
A27,,BROCHES DORADOS Nº 6 POR CAJA 100 UNID,15,
A28,,BROCHES NEPACO METALICO Nº 2 50 UNID.,46,160.79
A29,,CAJA ARCHIVOS PLÁSTICO CORRUGADO LEGAL,2,361.01
